number,symbolCount,numOfAttentionLayers,method,header,dmodel,dff,ncoef,strategy,architecture,dropout,name,num_resblocks,num_channels,use_1x1conv,lr,avg_accuracy,fold_0,fold_1,fold_2,fold_3,fold_4
1,6,3.0,TSFRESH_SEL_SYM,4.0,32.0,16.0,,quantile,transformer,0.0,Adiac,,,,,0.7627,0.7647058823529411,0.7493606138107417,0.7595907928388747,0.7595907928388747,0.7800511508951407
6,5,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,BME,3.0,16.0,True,True,1.0,1.0,1.0,1.0,1.0,1.0
7,5,,TSFRESH_SYM,,,,,quantile,resnet,,Beef,3.0,64.0,True,True,0.8,0.9,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.8
9,5,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,BirdChicken,3.0,16.0,True,True,0.97,0.95,0.95,1.0,0.95,1.0
10,5,,TSFRESH_SYM,,,,,uniform,resnet,,CBF,3.0,64.0,True,True,0.9933,0.9888888888888889,0.9944444444444445,0.9922222222222222,0.9933333333333333,0.9977777777777778
11,6,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,Car,3.0,64.0,True,True,0.84,0.8,0.9166666666666666,0.7666666666666667,0.8666666666666667,0.85
12,5,,MCB,,,,,uniform,resnet,,Chinatown,3.0,64.0,True,True,0.9825,0.9854227405247813,0.9854227405247813,0.9825072886297376,0.9766763848396501,0.9825072886297376
13,6,,TSFRESH_SYM,,,,,quantile,resnet,,ChlorineConcentration,3.0,16.0,True,True,0.6593,0.6700520833333333,0.6575520833333334,0.6674479166666667,0.6528645833333333,0.6484375
15,0,3.0,CATCH24,4.0,128.0,64.0,,,transformer,0.0,Coffee,,,,,1.0,1.0,1.0,1.0,1.0,1.0
17,6,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,CricketX,3.0,64.0,True,True,0.6774,0.676923076923077,0.6948717948717948,0.6692307692307692,0.6794871794871795,0.6666666666666666
18,5,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,CricketY,3.0,64.0,True,True,0.6754,0.6794871794871795,0.6615384615384615,0.6717948717948717,0.6641025641025641,0.7
19,6,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,CricketZ,3.0,64.0,True,True,0.6872,0.676923076923077,0.6666666666666666,0.6974358974358974,0.7153846153846154,0.6794871794871795
20,5,,TSFRESH_SYM,,,,,quantile,resnet,,Crop,3.0,16.0,True,True,0.713,0.7122619047619048,0.71375,0.710297619047619,0.7169642857142857,0.7116071428571429
22,5,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,DistalPhalanxOutlineAgeGroup,3.0,64.0,True,True,0.7554,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7913669064748201
23,6,,TSFRESH_SYM,,,,,quantile,resnet,,DistalPhalanxOutlineCorrect,3.0,16.0,True,True,0.7949,0.8115942028985508,0.7862318840579711,0.8079710144927537,0.7862318840579711,0.782608695652174
24,6,3.0,TSFRESH_SEL_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,DistalPhalanxTW,,,,,0.682,0.6906474820143885,0.697841726618705,0.7050359712230215,0.6187050359712231,0.697841726618705
28,5,,TSFRESH_SYM,,,,,uniform,resnet,,ECG200,3.0,16.0,True,True,0.864,0.86,0.85,0.88,0.87,0.86
29,6,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,ECG5000,3.0,16.0,True,True,0.94,0.9393333333333334,0.9404444444444444,0.9395555555555556,0.9413333333333334,0.9395555555555556
36,5,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,FaceAll,3.0,64.0,True,True,0.8766,0.8816568047337278,0.8857988165680474,0.8745562130177514,0.8715976331360947,0.8692307692307693
38,6,3.0,TSFRESH_SEL_SYM,4.0,32.0,16.0,,quantile,transformer,0.0,FacesUCR,,,,,0.8398,0.8409756097560975,0.8424390243902439,0.8321951219512195,0.8497560975609756,0.8336585365853658
39,6,3.0,TSFRESH_SEL_SYM,4.0,128.0,64.0,,uniform,transformer,0.0,FiftyWords,,,,,0.687,0.6923076923076923,0.6945054945054945,0.6879120879120879,0.6637362637362637,0.6967032967032967
40,6,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,Fish,3.0,64.0,True,True,0.9017,0.9142857142857143,0.88,0.92,0.9028571428571428,0.8914285714285715
41,5,3.0,TSFRESH_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,FordA,,,,,1.0,1.0,1.0,1.0,1.0,1.0
42,5,,TSFRESH_SYM,,,,,quantile,resnet,,FordB,3.0,16.0,True,True,0.8091,0.817283950617284,0.8135802469135802,0.7987654320987654,0.8111111111111111,0.8049382716049382
43,6,3.0,CATCH24_SYM,4.0,128.0,64.0,,uniform,transformer,0.0,FreezerRegularTrain,,,,,0.9975,0.9978947368421053,0.9971929824561403,0.9975438596491228,0.9975438596491228,0.9975438596491228
51,6,,TSFEL_SYM,,,,,uniform,resnet,,GunPoint,3.0,64.0,True,True,0.952,0.94,0.9266666666666666,0.94,0.9733333333333334,0.98
52,6,,TSFEL_SYM,,,,,quantile,resnet,,GunPointAgeSpan,3.0,64.0,True,True,0.9829,0.9841772151898734,0.9778481012658228,0.9778481012658228,0.9936708860759493,0.9810126582278481
53,5,3.0,TSFRESH_SYM,4.0,128.0,64.0,,quantile,transformer,0.0,GunPointMaleVersusFemale,,,,,1.0,1.0,1.0,1.0,1.0,1.0
54,5,3.0,TOOLS_SYM,4.0,32.0,16.0,,quantile,transformer,0.0,GunPointOldVersusYoung,,,,,1.0,1.0,1.0,1.0,1.0,1.0
61,0,3.0,TSFRESH_SEL,4.0,32.0,16.0,,,transformer,0.0,InsectEPGRegularTrain,,,,,1.0,1.0,1.0,1.0,1.0,1.0
63,5,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,InsectWingbeatSound,3.0,64.0,True,True,0.6388,0.6525252525252525,0.6454545454545455,0.6242424242424243,0.6555555555555556,0.6161616161616161
64,0,,ORI,,,,,uniform,resnet,,ItalyPowerDemand,3.0,16.0,True,True,0.965,0.967930029154519,0.9591836734693877,0.9727891156462585,0.9659863945578231,0.9591836734693877
67,5,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,Lightning7,3.0,16.0,True,True,0.737,0.7534246575342466,0.6986301369863014,0.7534246575342466,0.7123287671232876,0.7671232876712328
69,6,3.0,TSFRESH_SEL_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,Meat,,,,,0.9567,0.9833333333333333,0.95,0.9166666666666666,0.9666666666666667,0.9666666666666667
70,5,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,MedicalImages,3.0,64.0,True,True,0.7471,0.7407894736842106,0.75,0.7618421052631579,0.743421052631579,0.7394736842105263
71,6,3.0,TSFRESH_SEL_SYM,4.0,128.0,64.0,,quantile,transformer,0.0,MelbournePedestrian,,,,,0.9559,0.958179581795818,0.951209512095121,0.9532595325953259,0.958589585895859,0.958179581795818
72,0,3.0,TOOLS,4.0,128.0,64.0,,,transformer,0.0,MiddlePhalanxOutlineAgeGroup,,,,,0.6273,0.6428571428571429,0.6493506493506493,0.6363636363636364,0.5909090909090909,0.6168831168831169
73,5,,TSFRESH_SYM,,,,,quantile,resnet,,MiddlePhalanxOutlineCorrect,3.0,16.0,True,True,0.8062,0.8281786941580757,0.8178694158075601,0.7938144329896907,0.8006872852233677,0.7903780068728522
74,6,,SFA,,,,256.0,quantile,resnet,,MiddlePhalanxTW,3.0,16.0,True,True,0.6039,0.564935064935065,0.6038961038961039,0.551948051948052,0.6363636363636364,0.6623376623376623
80,5,3.0,TSFRESH_SEL_SYM,4.0,128.0,64.0,,uniform,transformer,0.0,OSULeaf,,,,,0.8917,0.9049586776859504,0.8884297520661157,0.8842975206611571,0.8801652892561983,0.9008264462809917
81,5,,SFA,,,,128.0,quantile,resnet,,OliveOil,3.0,16.0,True,True,0.9,0.8666666666666667,0.9,0.8666666666666667,0.9333333333333333,0.9333333333333333
83,6,,TSFRESH_SYM,,,,,quantile,resnet,,PhalangesOutlinesCorrect,3.0,16.0,True,True,0.7984,0.7855477855477856,0.7972027972027972,0.8065268065268065,0.8006993006993007,0.8018648018648019
89,6,3.0,TSFRESH_SEL_SYM,4.0,128.0,64.0,,quantile,transformer,0.0,Plane,,,,,1.0,1.0,1.0,1.0,1.0,1.0
90,5,,MCB,,,,,uniform,resnet,,PowerCons,3.0,16.0,True,True,1.0,1.0,1.0,1.0,1.0,1.0
91,5,3.0,TSFRESH_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,ProximalPhalanxOutlineAgeGroup,,,,,0.8556,0.8585365853658536,0.8634146341463415,0.8536585365853658,0.8390243902439024,0.8634146341463415
92,6,,TSFRESH_SYM,,,,,quantile,resnet,,ProximalPhalanxOutlineCorrect,3.0,64.0,True,True,0.899,0.9106529209621993,0.8831615120274914,0.9003436426116839,0.8934707903780069,0.9072164948453608
93,6,,TSFRESH_SYM,,,,,uniform,resnet,,ProximalPhalanxTW,3.0,16.0,True,True,0.8088,0.8195121951219512,0.824390243902439,0.7951219512195122,0.8097560975609757,0.7951219512195122
102,5,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,ShapesAll,3.0,64.0,True,True,0.8187,0.8283333333333334,0.8216666666666667,0.8066666666666666,0.8116666666666666,0.825
104,6,,MCB,,,,,quantile,resnet,,SmoothSubspace,3.0,64.0,True,True,0.9893,0.9866666666666667,0.9866666666666667,0.9933333333333333,0.9933333333333333,0.9866666666666667
108,6,,MCB,,,,,quantile,resnet,,Strawberry,3.0,64.0,True,True,0.9643,0.9594594594594594,0.9621621621621622,0.9621621621621622,0.9621621621621622,0.9756756756756757
109,6,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,SwedishLeaf,3.0,16.0,True,True,0.952,0.9632,0.9552,0.9568,0.9264,0.9584
110,6,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,Symbols,3.0,16.0,True,True,0.9459,0.949748743718593,0.8974874371859296,0.9537688442211055,0.9597989949748744,0.9688442211055276
111,6,3.0,TSFRESH_SEL_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,SyntheticControl,,,,,0.9987,1.0,1.0,1.0,0.9966666666666667,0.9966666666666667
114,6,3.0,TSFRESH_SEL_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,Trace,,,,,1.0,1.0,1.0,1.0,1.0,1.0
116,6,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,TwoPatterns,3.0,64.0,True,True,0.9852,0.98575,0.986,0.98225,0.98675,0.98525
117,6,,SAX,,,,,uniform,resnet,,UMD,3.0,64.0,True,True,0.9708,0.9027777777777778,1.0,0.9861111111111112,0.9861111111111112,0.9791666666666666
119,5,,TSFRESH_SYM,,,,,uniform,resnet,,UWaveGestureLibraryX,3.0,16.0,True,True,0.7805,0.7808486878838637,0.7889447236180904,0.7797319932998324,0.7800111669458403,0.7727526521496371
120,6,,TSFRESH_SEL_SYM,,,,,quantile,resnet,,UWaveGestureLibraryY,3.0,64.0,True,True,0.7029,0.6979341150195422,0.7102177554438861,0.7096594081518705,0.6940256839754327,0.7026800670016751
122,6,3.0,TSFRESH_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,Wafer,,,,,1.0,0.9998377676833226,1.0,1.0,1.0,1.0
124,5,3.0,TSFRESH_SEL_SYM,4.0,32.0,16.0,,uniform,transformer,0.0,WordSynonyms,,,,,0.5771,0.5626959247648903,0.5815047021943573,0.5924764890282131,0.5783699059561128,0.5705329153605015
127,6,,TSFRESH_SEL_SYM,,,,,uniform,resnet,,Yoga,3.0,64.0,True,True,0.9159,0.9153333333333333,0.92,0.9086666666666666,0.92,0.9153333333333333
